Copyright (C) 1991-2013 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

Fitter Resource Utilization by Entity

Compilation Hierarchy Node,Logic Cells,Dedicated Logic Registers,I/O Registers,Memory Bits,M4Ks,DSP Elements,DSP 9x9,DSP 18x18,Pins,Virtual Pins,LUT-Only LCs,Register-Only LCs,LUT/Register LCs,Full Hierarchy Name,Library Name
   |PWM_MONITORING_ARDUINO:INST_PWM_MONITORING_ARDUINO_4|,204 (204),168 (168),0 (0),0,0,0,0,0,0,0,36 (36),48 (48),120 (120),|FPGA_MAIN_MODULE|PWM_MONITORING_ARDUINO:INST_PWM_MONITORING_ARDUINO_4,work
   |UART_ARDUINO:INST_UART_ARDUINO_1|,109 (0),49 (0),0 (0),0,0,0,0,0,0,0,60 (0),1 (0),48 (0),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_1,work
      |UART_RX_MACHINE:INST_UART_RX_MACHINE|,57 (57),26 (26),0 (0),0,0,0,0,0,0,0,31 (31),0 (0),26 (26),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_1|UART_RX_MACHINE:INST_UART_RX_MACHINE,work
      |UART_TX_MACHINE:INST_UART_TX_MACHINE|,52 (52),23 (23),0 (0),0,0,0,0,0,0,0,29 (29),1 (1),22 (22),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_1|UART_TX_MACHINE:INST_UART_TX_MACHINE,work
   |UART_ARDUINO:INST_UART_ARDUINO_2|,109 (0),49 (0),0 (0),0,0,0,0,0,0,0,60 (0),1 (0),48 (0),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_2,work
      |UART_RX_MACHINE:INST_UART_RX_MACHINE|,57 (57),26 (26),0 (0),0,0,0,0,0,0,0,31 (31),0 (0),26 (26),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_2|UART_RX_MACHINE:INST_UART_RX_MACHINE,work
      |UART_TX_MACHINE:INST_UART_TX_MACHINE|,52 (52),23 (23),0 (0),0,0,0,0,0,0,0,29 (29),1 (1),22 (22),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_2|UART_TX_MACHINE:INST_UART_TX_MACHINE,work
   |UART_ARDUINO:INST_UART_ARDUINO_3|,109 (0),49 (0),0 (0),0,0,0,0,0,0,0,60 (0),1 (0),48 (0),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_3,work
      |UART_RX_MACHINE:INST_UART_RX_MACHINE|,57 (57),26 (26),0 (0),0,0,0,0,0,0,0,31 (31),0 (0),26 (26),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_3|UART_RX_MACHINE:INST_UART_RX_MACHINE,work
      |UART_TX_MACHINE:INST_UART_TX_MACHINE|,52 (52),23 (23),0 (0),0,0,0,0,0,0,0,29 (29),1 (1),22 (22),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_3|UART_TX_MACHINE:INST_UART_TX_MACHINE,work
   |UART_ARDUINO:INST_UART_ARDUINO_4|,109 (0),49 (0),0 (0),0,0,0,0,0,0,0,60 (0),1 (0),48 (0),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_4,work
      |UART_RX_MACHINE:INST_UART_RX_MACHINE|,57 (57),26 (26),0 (0),0,0,0,0,0,0,0,31 (31),0 (0),26 (26),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_4|UART_RX_MACHINE:INST_UART_RX_MACHINE,work
      |UART_TX_MACHINE:INST_UART_TX_MACHINE|,52 (52),23 (23),0 (0),0,0,0,0,0,0,0,29 (29),1 (1),22 (22),|FPGA_MAIN_MODULE|UART_ARDUINO:INST_UART_ARDUINO_4|UART_TX_MACHINE:INST_UART_TX_MACHINE,work
   |UART_BLUETOOTH:INST_UART_BLUETOOTH|,91 (0),42 (0),0 (0),0,0,0,0,0,0,0,49 (0),1 (0),41 (0),|FPGA_MAIN_MODULE|UART_BLUETOOTH:INST_UART_BLUETOOTH,work
      |UART_RX_MACHINE:INST_UART_RX_MACHINE|,38 (38),18 (18),0 (0),0,0,0,0,0,0,0,20 (20),0 (0),18 (18),|FPGA_MAIN_MODULE|UART_BLUETOOTH:INST_UART_BLUETOOTH|UART_RX_MACHINE:INST_UART_RX_MACHINE,work
      |UART_TX_MACHINE:INST_UART_TX_MACHINE|,53 (53),24 (24),0 (0),0,0,0,0,0,0,0,29 (29),1 (1),23 (23),|FPGA_MAIN_MODULE|UART_BLUETOOTH:INST_UART_BLUETOOTH|UART_TX_MACHINE:INST_UART_TX_MACHINE,work
   |UART_SHIELD:INST_UART_SHIELD|,109 (0),49 (0),0 (0),0,0,0,0,0,0,0,60 (0),1 (0),48 (0),|FPGA_MAIN_MODULE|UART_SHIELD:INST_UART_SHIELD,work
      |UART_RX_MACHINE:INST_UART_RX_MACHINE|,57 (57),26 (26),0 (0),0,0,0,0,0,0,0,31 (31),0 (0),26 (26),|FPGA_MAIN_MODULE|UART_SHIELD:INST_UART_SHIELD|UART_RX_MACHINE:INST_UART_RX_MACHINE,work
      |UART_TX_MACHINE:INST_UART_TX_MACHINE|,52 (52),23 (23),0 (0),0,0,0,0,0,0,0,29 (29),1 (1),22 (22),|FPGA_MAIN_MODULE|UART_SHIELD:INST_UART_SHIELD|UART_TX_MACHINE:INST_UART_TX_MACHINE,work
